stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type
Augsburg Hbf,192922,57758,48.365532,10.885533,
Augustfehn,,5973,53.220894,7.759622,1
Augustfehn,5973,113428,53.220844,7.75963,
Bad Bentheim,365642,273362,52.309853,7.157776,
Bad Bentheim,365642,461274,52.30978,7.157785,
Bad Bentheim Bahnhof,,365642,52.30953,7.158737,1
Bad Bentheim(Gr),,133333,52.3091,7.04016,1
Bad Bentheim(Gr),133333,465756,52.3091,7.04016,
Bad Bevensen,,401851,53.078247,10.574141,1
Bad Bevensen,401851,446010,53.078274,10.574201,
Bad Bevensen,401851,496503,53.07822,10.574081,
Bad Endorf,,457145,47.904766,12.302122,1
Bad Endorf,457145,242807,47.90459,12.302679,
"Bad Endorf, Bahnhof",457145,238851,47.904682,12.302545,
Bad Gastein,,315961,47.111774,13.131945,1
Bad Gastein,315961,391519,47.111774,13.131945,
Bad Hersfeld,,447069,50.869766,9.716581,1
Bad Hersfeld,447069,569395,50.869766,9.716581,
Bad Hofgastein,,210452,47.195713,13.100939,1
Bad Hofgastein,210452,551535,47.195713,13.100939,
Bad Kleinen,620920,572315,53.766644,11.466456,
Bad Kleinen,620920,90478,53.766945,11.466213,
Bad Kleinen Bhf,,620920,53.76746,11.466429,1
Bad Nauheim,488707,426804,50.367695,8.749241,
Bad Nauheim Bahnhof,,488707,50.367798,8.748327,1
Bad Oeynhausen,45430,453219,52.205322,8.795944,
Bad Oeynhausen,45430,504687,52.205257,8.795962,
"Bad Oeynhausen, Bf/ZOB",,45430,52.2054,8.796519,1
Bad Schandau,628781,294932,50.91921,14.137704,
Bad Schandau,628781,385944,50.919315,14.137713,
Bad Schandau Nationalparkbahnhof,,628781,50.91927,14.138099,1
Bad Zwischenahn,,391018,53.182568,8.002996,1
Bad Zwischenahn,391018,492576,53.18242,8.003398,
Baden(CH),,423951,47.476425,8.307709,1
Baden(CH),423951,154077,47.476425,8.307709,
Baden-Baden,,241578,48.7902,8.191036,1
Baden-Baden,241578,231221,48.79032,8.190731,
Baden-Baden,241578,238264,48.790478,8.190417,
"Bahnhof, Engen",609873,1624,47.85621,8.772516,
"Bahnhof, Friedberg (Hessen)",388769,181740,50.33204,8.760561,
"Bahnhof, Langen (Hessen)",380985,380465,49.99354,8.656922,
Bamberg,,144184,49.90076,10.899484,1
Bamberg,144184,19134,49.900574,10.900122,
Bamberg,144184,204332,49.900547,10.899879,
Bamberg,144184,268854,49.900597,10.899735,
Bamberg,144184,588950,49.90076,10.899489,
Basel Bad Bf,,214016,47.567287,7.607805,1
Basel Bad Bf,214016,313215,47.567287,7.607805,
Basel SBB,,30896,47.547405,7.589551,1
Basel SBB,30896,184512,47.547405,7.589551,
Bebra,,505083,50.969566,9.797788,1
Bebra,505083,387018,50.969566,9.797788,
Bensheim,609657,230189,49.681423,8.616721,
Bensheim,609657,538666,49.68174,8.616901,
"Bensheim, Bahnhof",,609657,49.681805,8.616955,1
Bergen Bahnhof,,148537,54.420822,13.418737,1
Bergen auf Rügen,148537,435059,54.42034,13.417668,
Bergen auf Rügen,148537,559753,54.420414,13.417534,
Berlin Gesundbrunnen,217455,1375,52.548386,13.390704,
Berlin Gesundbrunnen,217455,179112,52.548794,13.3904,
Berlin Gesundbrunnen,217455,230042,52.548485,13.390691,
Berlin Gesundbrunnen,217455,239054,52.548573,13.390519,
Berlin Gesundbrunnen,217455,284956,52.54869,13.390501,
Berlin Gesundbrunnen,217455,427614,52.548885,13.39039,
Berlin Hbf,52971,1354,52.525143,13.369612,
Berlin Hbf,52971,149835,52.524998,13.369061,
Berlin Hbf,52971,253556,52.524967,13.369527,
Berlin Hbf,52971,307016,52.52519,13.369752,
Berlin Hbf,52971,368060,52.524788,13.369667,
Berlin Hbf,52971,439464,52.52506,13.369167,
Berlin Hbf,52971,454023,52.52496,13.368911,
Berlin Hbf,52971,470783,52.525097,13.369321,
Berlin Hbf,52971,595143,52.52488,13.369627,
Berlin Hbf,52971,629033,52.525223,13.369887,
Berlin Hbf,52971,90354,52.52511,13.369472,
Berlin Ostbahnhof,7071,198790,52.510475,13.43524,
Berlin Ostbahnhof,7071,255460,52.510242,13.434586,
Berlin Ostbahnhof,7071,32899,52.510254,13.435024,
Berlin Ostbahnhof,7071,453362,52.510178,13.434942,
Berlin Ostbahnhof,7071,630805,52.510414,13.435172,
Berlin Ostkreuz,245576,131984,52.50304,13.468615,
Berlin Ostkreuz,245576,213186,52.502907,13.468553,
Berlin Südkreuz,452917,183287,52.475887,13.365455,
