route_id,service_id,trip_id
13,372,345548
13,372,612346
13,372,759336
13,373,517861
13,393,1251578
13,393,1298393
13,393,1313606
13,393,648536
13,393,694326
13,393,905036
13,393,950049
13,393,961044
13,414,1044666
13,414,1067776
13,414,1075397
13,414,1151220
13,414,1351672
13,414,1391937
13,414,1411188
13,414,247322
13,414,275311
13,414,292953
13,414,535477
13,414,711978
13,414,825933
13,414,859235
13,414,897909
13,417,717967
13,42,1168348
13,451,423199
13,456,1239129
13,456,1270546
13,456,1279118
13,456,1314106
13,456,1325695
13,456,288168
13,456,911163
13,456,919293
13,456,930099
13,461,131239
13,461,1387447
13,461,304844
13,461,433932
13,461,706130
13,461,722758
13,461,846899
13,461,854306
13,473,1290789
13,473,1516411
13,473,282610
13,473,485132
13,473,523816
13,473,771370
13,473,959570
13,488,1074411
13,488,737897
13,500,1149968
13,500,1184429
13,500,178677
13,502,347215
13,512,1210949
13,518,1037640
13,518,1051332
13,518,1099940
13,518,1120009
13,518,1195962
13,518,137323
13,518,389549
13,518,489094
13,518,545869
13,518,716588
13,544,515108
13,544,558557
13,551,469426
13,557,901721
13,607,1448019
13,634,1253991
13,634,1455488
13,634,941530
13,649,994866
13,650,1211315
13,653,1214238
13,653,1243042
13,653,327434
13,679,182073
13,698,130441
13,70,1196289
13,700,1197140
13,701,457724
13,704,63284
13,721,361353
13,725,738389
13,728,92604
13,737,219898
13,738,618415
13,742,1296618
13,742,983583
13,749,180205
13,754,1062005
13,755,115438
13,755,1199982
13,755,1201821
13,755,233479
13,755,244586
13,755,864633
13,761,1190012
13,761,1232006
13,761,1521354
13,761,171702
13,761,21268
13,761,422741
13,761,694303
13,761,748318
13,761,866872
13,780,729636
13,796,363090
13,796,397288
13,799,1003812
13,799,1163798
13,799,1254075
13,799,1400861
13,799,168789
13,799,31913
13,799,326923
13,799,329397
13,799,598039
13,803,1014061
13,813,171680
13,837,966054
13,844,1445579
13,847,724034
13,848,1443428
13,848,505518
13,872,424667
13,886,553351
13,897,1062193
13,925,1016029
14,236,190502
14,236,330851
14,236,813998
14,349,134682
14,414,650914
14,456,1362066
14,461,1355926
14,461,221874
14,518,1496539
14,518,576324
14,518,749593
14,588,516052
14,77,174672
14,9,1184607
15,518,908534
15,667,1277844
15,729,1269874
15,791,1226849
16,12,746253
16,133,589775
16,133,733903
16,142,1062216
16,142,1107158
16,142,1141029
16,142,1292991
16,142,1517403
16,142,191107
16,142,358728
16,142,612870
16,142,681309
16,142,952586
16,162,1030116
16,179,1449335
16,211,739613
16,306,878258
16,331,1134688
16,331,50830
16,331,888308
16,331,975854
16,361,1114278
16,361,79989
16,417,261923
16,417,383397
16,419,1201037
16,419,641452
16,419,820911
16,436,1290513
16,436,1435534
16,436,1441291
16,436,1520848
16,436,162663
16,436,240344
16,436,322420
16,436,422028
16,436,481616
16,436,512174
16,436,889865
16,436,916503
16,451,1039037
16,473,1325019
16,473,1375009
16,473,142087
16,473,1426263
16,473,1495980
16,473,1529119
16,473,211641
16,473,297831
16,473,447888
16,473,724994
16,473,873125
16,473,918600
16,482,296894
16,486,1000946
16,486,1020701
16,486,1124003
16,486,1460987
16,486,248754
16,486,277325
16,486,288993
16,486,354411
16,486,573793
16,486,84352
16,486,934056
16,486,959823
16,49,143821
16,545,79998
16,619,963779
16,634,1465646
16,645,404862
16,651,132050
16,652,683223
16,666,1289686
16,672,1289712
16,672,1343137
16,672,1369376
16,672,1401023
16,672,1490969
16,672,258997
16,672,51184
16,672,766808
16,672,810617
16,672,951097
16,678,592056
16,687,1012393
16,691,1090586
16,691,1191904
16,691,1288076
16,691,1466983
16,691,1470605
16,691,302689
16,691,454089
16,691,514450
16,691,617856
16,691,638634
16,691,681760
16,691,877152
16,691,990075
16,714,812729
16,761,1042788
16,761,1156109
16,761,1219896
16,761,1222328
16,761,1288974
16,761,1301846
16,761,1406992
16,761,373864
16,761,602640
16,761,603095
16,761,72488
16,761,75750
16,77,1228045
16,77,1419197
16,77,1534412
16,77,1548081
16,77,1552737
16,77,255112
16,77,29410
16,77,344131
16,77,411851
16,77,424124
16,77,852007
16,77,942897
16,826,1022101
16,83,963309
16,844,1214208
16,844,33384
16,855,1071765
16,864,1462980
16,864,260677
16,888,338004
16,915,1265004
16,923,746457
16,98,245931
17,129,1055926
17,13,826146
17,158,1319228
17,158,715525
17,159,437726
17,159,500884
17,159,713085
17,159,96738
17,179,1441919
17,179,453673
17,179,663698
17,179,770182
17,187,421357
17,214,1273977
17,214,1404825
17,214,1461552
17,214,156065
17,214,204655
17,214,303013
17,214,49129
17,214,786885
17,214,808964
17,214,818628
17,214,83868
17,219,440096
17,236,1095126
17,236,296646
17,236,447098
17,236,610520
17,236,715059
17,236,855575
17,248,346675
17,248,464182
17,264,920701
17,317,1384
17,317,217588
17,34,1432051
17,414,1002654
17,414,1041238
17,414,1053137
17,414,1313725
17,414,417756
17,424,868429
17,456,392032
17,461,633200
17,467,546467
17,473,1221483
17,473,544915
17,473,652376
17,473,909259
17,479,1252711
17,479,434858
17,479,56338
17,479,637640
17,479,943589
17,479,966478
17,487,1120751
17,487,700822
17,52,1166629
17,52,254464
17,52,258502
17,52,768852
17,52,89689
17,524,1134672
17,524,698065
17,524,738394
17,534,263894
17,540,1383562
17,543,726278
17,555,580841
17,561,1356155
17,561,888936
17,562,1286807
17,562,151294
17,562,324609
17,562,42467
17,600,1473165
17,633,1131667
17,633,733164
17,649,1252154
17,672,1238305
17,672,1451065
17,672,413808
17,672,665997
17,672,70112
17,705,1442575
17,705,169686
17,705,331268
17,705,776281
17,710,1176526
17,735,386476
17,735,506566
17,742,232528
17,742,636002
17,755,1512745
17,761,969087
17,77,437070
17,77,771289
17,77,888057
17,770,1109511
17,777,30622
17,799,1289690
17,799,1295019
17,799,699350
17,799,741952
17,799,793163
17,852,12818
17,852,601829
17,905,1417034
17,915,271924
18,106,1235987
18,106,161354
18,106,533099
18,107,1027010
18,139,1381422
18,148,1025520
18,184,635614
18,198,1335989
18,236,1528724
18,237,1336664
18,241,1060488
18,248,764438
18,283,1088042
18,283,707853
18,295,1004293
18,303,927282
18,35,216852
18,35,684146
18,366,1080816
18,395,1135970
18,395,1365981
18,395,184314
18,395,591180
18,405,809540
18,414,1065827
18,414,204632
18,417,213573
18,436,1316631
18,436,1376925
18,436,1544972
18,436,162698
18,436,234911
18,436,412455
18,436,774626
18,436,827039
18,436,937426
18,451,242438
18,461,1154381
18,461,120235
18,461,297125
18,465,711603
18,473,1306809
18,479,1094072
18,479,1200508
18,479,1208150
18,479,306785
18,479,324159
18,479,654296
18,479,852236
18,479,864690
18,48,156760
18,500,679313
18,508,31814
18,526,35495
18,541,1545815
18,572,1231531
18,572,965625
18,649,21552
18,651,1380826
18,666,1327871
18,666,285754
18,666,819144
18,666,986574
18,69,1292197
18,718,492945
18,733,1057936
18,733,266100
18,733,486869
18,733,790434
18,734,728326
18,761,443796
18,77,1401770
18,77,320132
18,77,410586
18,77,86206
18,783,411313
18,783,608042
18,893,661076
18,893,902750
18,9,609917
18,903,1047011
18,903,401793
19,127,1282052
19,183,101305
19,187,1145402
19,197,1192914
19,197,550597
19,205,1542109
19,250,447877
19,250,486586
19,250,710814
19,250,857738
19,258,577215
19,268,179150
19,286,711820
19,337,1340219
19,337,1424897
19,337,1532852
19,337,343589
19,337,679150
19,358,356345
19,358,952241
19,403,1317481
19,409,979891
19,430,351899
19,436,1081030
19,436,734447
19,47,22490
19,47,364068
19,473,1369639
19,473,1413575
19,473,278092
19,473,33544
19,473,379987
19,473,412564
19,473,464396
19,473,661234
19,473,806182
19,473,891356
19,473,997815
19,479,1455626
19,491,1066617
19,491,1233428
19,491,1237971
19,491,1511952
19,491,381666
19,491,954835
19,569,1079310
19,572,230481
19,576,264901
19,648,41336
19,649,361840
19,649,556609
19,649,70417
19,688,1324922
19,693,1237547
19,693,149875
19,693,213872
19,693,250614
19,693,577646
19,706,1157142
19,706,1280429
19,706,250725
19,750,148756
19,759,326597
